,Chi2 Stat,p-value,dof
Sex,260.71702016732104,1.1973570627755645e-58,1.0
Pclass,102.88898875696056,4.549251711298793e-23,2.0
Embarked_Q,0.0,1.0,1.0
Embarked_S,19.279400244953347,1.1291808110540787e-05,1.0
